Fri Jan 15 00:58:56 2021 Fold 0, Epoch 1, lr: 0.0000200, train loss: 1.02109, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 01:00:21 2021 Fold 0, Epoch 2, lr: 0.0002000, train loss: 0.94561, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 01:01:46 2021 Fold 0, Epoch 3, lr: 0.0001998, train loss: 0.87153, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 01:03:11 2021 Fold 0, Epoch 4, lr: 0.0001992, train loss: 0.82975, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 01:04:38 2021 Fold 0, Epoch 5, lr: 0.0001982, train loss: 0.79221, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 01:06:04 2021 Fold 0, Epoch 6, lr: 0.0001967, train loss: 0.76074, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 01:07:31 2021 Fold 0, Epoch 7, lr: 0.0001949, train loss: 0.64678, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 01:08:58 2021 Fold 0, Epoch 8, lr: 0.0001927, train loss: 0.52756, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 01:10:24 2021 Fold 0, Epoch 9, lr: 0.0001901, train loss: 0.45876, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 01:11:51 2021 Fold 0, Epoch 10, lr: 0.0001871, train loss: 0.21204, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 01:13:18 2021 Fold 0, Epoch 11, lr: 0.0001838, train loss: 0.10505, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 01:14:44 2021 Fold 0, Epoch 12, lr: 0.0001801, train loss: 0.07797, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 01:16:11 2021 Fold 0, Epoch 13, lr: 0.0001761, train loss: 0.09996, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 01:17:38 2021 Fold 0, Epoch 14, lr: 0.0001718, train loss: 0.05130, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 01:19:04 2021 Fold 0, Epoch 15, lr: 0.0001672, train loss: 0.03444, valid loss: 0.29762, Acc: 99.6970, AUC: 0.003030.
Fri Jan 15 01:20:31 2021 Fold 0, Epoch 16, lr: 0.0001623, train loss: 0.03767, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 01:21:57 2021 Fold 0, Epoch 17, lr: 0.0001572, train loss: 0.01216, valid loss: 0.59524, Acc: 99.3939, AUC: 0.006061.
Fri Jan 15 01:23:24 2021 Fold 0, Epoch 18, lr: 0.0001518, train loss: 0.03202, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 01:24:51 2021 Fold 0, Epoch 19, lr: 0.0001463, train loss: 0.02157, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 01:26:18 2021 Fold 0, Epoch 20, lr: 0.0001405, train loss: 0.02160, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 01:27:44 2021 Fold 0, Epoch 21, lr: 0.0001345, train loss: 0.01758, valid loss: 0.59524, Acc: 99.3939, AUC: 0.006061.
Fri Jan 15 01:29:11 2021 Fold 0, Epoch 22, lr: 0.0001285, train loss: 0.01257, valid loss: 0.29762, Acc: 99.6970, AUC: 0.003030.
Fri Jan 15 01:30:38 2021 Fold 0, Epoch 23, lr: 0.0001223, train loss: 0.01322, valid loss: 0.59524, Acc: 99.3939, AUC: 0.006061.
Fri Jan 15 01:32:04 2021 Fold 0, Epoch 24, lr: 0.0001160, train loss: 0.01771, valid loss: 0.29762, Acc: 99.6970, AUC: 0.003030.
Fri Jan 15 01:33:31 2021 Fold 0, Epoch 25, lr: 0.0001096, train loss: 0.01754, valid loss: 0.59524, Acc: 99.3939, AUC: 0.006061.
Fri Jan 15 01:34:58 2021 Fold 0, Epoch 26, lr: 0.0001032, train loss: 0.03941, valid loss: 0.59524, Acc: 99.3939, AUC: 0.006061.
Fri Jan 15 01:36:25 2021 Fold 0, Epoch 27, lr: 0.0000968, train loss: 0.02667, valid loss: 0.29762, Acc: 99.6970, AUC: 0.003030.
Fri Jan 15 01:37:51 2021 Fold 0, Epoch 28, lr: 0.0000904, train loss: 0.02001, valid loss: 0.89286, Acc: 99.0909, AUC: 0.009091.
Fri Jan 15 01:39:18 2021 Fold 0, Epoch 29, lr: 0.0000840, train loss: 0.01586, valid loss: 1.78571, Acc: 98.1818, AUC: 0.018182.
Fri Jan 15 01:40:45 2021 Fold 0, Epoch 30, lr: 0.0000777, train loss: 0.00527, valid loss: 1.19048, Acc: 98.7879, AUC: 0.012121.
Fri Jan 15 01:42:11 2021 Fold 0, Epoch 31, lr: 0.0000715, train loss: 0.01048, valid loss: 0.29762, Acc: 99.6970, AUC: 0.003030.
Fri Jan 15 01:43:38 2021 Fold 0, Epoch 32, lr: 0.0000655, train loss: 0.00848, valid loss: 2.55952, Acc: 97.5758, AUC: 0.024242.
Fri Jan 15 01:45:05 2021 Fold 0, Epoch 33, lr: 0.0000595, train loss: 0.00663, valid loss: 2.38095, Acc: 97.5758, AUC: 0.024242.
Fri Jan 15 01:46:31 2021 Fold 0, Epoch 34, lr: 0.0000537, train loss: 0.00098, valid loss: 0.89286, Acc: 99.0909, AUC: 0.009091.
Fri Jan 15 01:48:11 2021 Fold 0, Epoch 35, lr: 0.0000482, train loss: 0.00159, valid loss: 0.89286, Acc: 99.0909, AUC: 0.009091.
Fri Jan 15 01:49:38 2021 Fold 0, Epoch 36, lr: 0.0000428, train loss: 0.00524, valid loss: 2.08333, Acc: 97.8788, AUC: 0.021212.
Fri Jan 15 01:51:05 2021 Fold 0, Epoch 37, lr: 0.0000377, train loss: 0.00148, valid loss: 0.59524, Acc: 99.3939, AUC: 0.006061.
Fri Jan 15 01:52:31 2021 Fold 0, Epoch 38, lr: 0.0000328, train loss: 0.00446, valid loss: 1.78571, Acc: 98.1818, AUC: 0.018182.
Fri Jan 15 01:53:58 2021 Fold 0, Epoch 39, lr: 0.0000282, train loss: 0.00153, valid loss: 0.29762, Acc: 99.6970, AUC: 0.003030.
Fri Jan 15 01:55:25 2021 Fold 0, Epoch 40, lr: 0.0000239, train loss: 0.00553, valid loss: 0.59524, Acc: 99.3939, AUC: 0.006061.
Fri Jan 15 01:56:52 2021 Fold 0, Epoch 41, lr: 0.0000199, train loss: 0.00422, valid loss: 2.08333, Acc: 97.8788, AUC: 0.021212.
